,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,index,directory1,directory2,name,lowlevel_barkbands_flatness_db_mean,lowlevel_barkbands_flatness_db_median,lowlevel_spectral_complexity_mean,lowlevel_spectral_complexity_median,lowlevel_spectral_decrease_mean,lowlevel_spectral_decrease_median,lowlevel_spectral_energy_mean,lowlevel_spectral_energy_median,lowlevel_spectral_energyband_middle_high_median,lowlevel_spectral_entropy_mean,lowlevel_spectral_entropy_median,lowlevel_spectral_flux_mean,lowlevel_spectral_flux_median,lowlevel_spectral_rms_mean,lowlevel_spectral_rms_median,lowlevel_spectral_rolloff_mean,lowlevel_spectral_rolloff_var,lowlevel_spectral_skewness_min,lowlevel_spectral_spread_median,tonal_hpcp_crest_median,lowlevel_silence_rate_30dB_min,rhythm_danceability,tonal_tuning_frequency,lowlevel_barkbands_crest_mean,lowlevel_barkbands_crest_median,lowlevel_barkbands_crest_min,lowlevel_barkbands_flatness_db_mean,lowlevel_barkbands_flatness_db_median,lowlevel_barkbands_spread_mean,lowlevel_dissonance_mean,lowlevel_dissonance_median,lowlevel_erbbands_crest_mean,lowlevel_erbbands_crest_median,lowlevel_erbbands_flatness_db_mean,lowlevel_erbbands_flatness_db_median,lowlevel_erbbands_skewness_mean,lowlevel_erbbands_skewness_median,lowlevel_melbands_flatness_db_mean,lowlevel_melbands_flatness_db_median,lowlevel_melbands_skewness_mean,lowlevel_melbands_skewness_median,lowlevel_melbands_spread_mean,lowlevel_melbands_spread_median,lowlevel_melbands_spread_var,lowlevel_silence_rate_60dB_mean,lowlevel_silence_rate_60dB_var,lowlevel_spectral_centroid_mean,lowlevel_spectral_centroid_median
10,50,50,50,58.0,Saves The Day - Stay.What.You.Are,0,Saves The Day - This Is Not An Exit,0.126745089889,0.118103943765,19.9602737427,19.0,-6.5968883689e-09,-4.94427432329e-09,0.0267900489271,0.0205522496253,0.00452715763822,7.46571445465,7.50770378113,0.0822595655918,0.0653463825583,0.00459439214319,0.00447783153504,1740.59265137,2449344.75,-0.247045397758,4057748.75,13.1282320023,0.0,1.2673022747,441.272583008,9.531114578250001,8.43631744385,2.39011311531,0.126745089889,0.118103943765,25.350454330399998,0.462477266788,0.471073716879,9.77155399323,8.10837268829,0.156638652086,0.153151571751,0.00511719845235,-0.06882058084010001,0.193075373769,0.182546705008,2.50463557243,2.12876439095,27.912393569899997,24.9096736908,439.70660400400004,0.0917064398527,0.0833044871688,1527.35412598,1525.19018555
11,54,54,54,62.0,Saves The Day - Stay.What.You.Are,0,Saves The Day - Freakish,0.131865948439,0.124473355711,21.6723842621,21.0,-9.02691699167e-09,-7.68430208353e-09,0.0362071059644,0.0311178062111,0.00461142975837,7.45155382156,7.52754497528,0.0902731642127,0.07376703619960001,0.00567224342376,0.005509885028,1331.32702637,1841788.5,-0.0371341258287,4334588.0,12.296305656400001,0.0,1.2853884697,440.508636475,9.03045654297,8.38917732239,2.56618857384,0.131865948439,0.124473355711,21.441989898699997,0.460621625185,0.468422710896,9.28777885437,8.10210704803,0.14773491025,0.142465755343,0.306707113981,0.253510355949,0.20709882676600005,0.201513215899,2.64681053162,2.34770154953,21.3981113434,19.0154056549,219.159729004,0.00889978092164,0.00882121734321,1274.97106934,1219.9942627
12,55,55,55,63.0,Saves The Day - Stay.What.You.Are,0,Saves The Day - Certain Tragedy,0.101953029633,0.08988065272569999,27.188644409200002,27.0,-8.029577003300001e-09,-7.11716907631e-09,0.032898958772400004,0.029715064913,0.00680000334978,7.721319198610001,7.75656557083,0.0971931815147,0.0858459621668,0.00543349189684,0.0053842645138500005,1687.44396973,1707047.375,-0.021637184545400003,4281843.0,12.253159522999999,1.0,1.21720087528,441.782684326,8.46580410004,7.46575641632,2.47822284698,0.101953029633,0.08988065272569999,26.7793178558,0.47334381938,0.480088412762,8.53077411652,7.0200366973899975,0.13562315702400002,0.130584180355,0.144874408841,0.061243444681199986,0.170941963792,0.156260550022,2.18853521347,1.93997466564,28.7150363922,27.5273208618,200.538650513,0.0189274456352,0.0185694992542,1581.31689453,1572.43945312
13,64,64,64,72.0,The BossHoss,Rodeo Radio,06-the_bosshoss-im_on_a_high-mst,0.0994743406773,0.0856336057186,26.176189422600004,27.0,-6.49095177607e-09,-5.6453406393999986e-09,0.0269812624902,0.0237572733313,0.004371434450149999,7.859999656679999,7.932377338410001,0.0940567478538,0.0909548997879,0.0048262947239,0.00481433561072,2013.46679688,1978648.375,0.00373643287458,4968106.0,11.0034942627,0.0,1.32598507404,441.52755737300004,8.89477825165,8.16096878052,2.0375154018400004,0.0994743406773,0.0856336057186,31.9497890472,0.470382928848,0.47943815589,7.60759925842,6.44512224197,0.12630829215,0.122180990875,-0.0140559468418,-0.155660092831,0.162915572524,0.150155648589,2.82369875908,2.45790076256,31.197256088299998,28.3918323517,354.937438965,0.042435187846400005,0.0406342707574,1753.57385254,1823.92932129
14,65,65,65,73.0,The BossHoss,Rodeo Radio,01-the_bosshoss-intro-mst,0.0937720239162,0.0856761485338,14.8313951492,14.0,-3.26459193012e-09,-1.88817517177e-09,0.013622243888700002,0.007893247529859999,0.00165542750619,7.912127494810001,7.90361166,0.06979522854089999,0.0601837933064,0.00313463946804,0.0027750185690800003,2892.6496582,13027296.0,-0.0725995898247,4772790.5,7.940725326539999,1.0,1.22641551495,438.731048584,8.24113464355,7.18301677704,1.94393360615,0.0937720239162,0.0856761485338,27.213973999,0.4715995788570001,0.480036616325,7.741248130800001,6.761331558230001,0.140612840652,0.136696606874,0.183663189411,0.141807571054,0.13753715157500002,0.136151343584,2.09359359741,2.0125591754900003,35.8223152161,28.3347663879,788.27734375,0.189922481775,0.153852969408,2012.70324707,1631.44628906
15,67,67,67,75.0,The BossHoss,Rodeo Radio,02-the_bosshoss-rodeo_radio-mst,0.0994226634502,0.0929725021124,22.146371841399997,22.0,-6.26589669039e-09,-5.71785285786e-09,0.0257377997041,0.023637194186400003,0.00472236005589,7.72158527374,7.753645896910001,0.0975599959493,0.09607133269310003,0.00468454929069,0.00480215344578,1785.68334961,2040500.5,0.25283780694,4725017.5,10.8847408295,1.0,1.22840213776,441.782684326,8.40577316284,7.613890647889999,2.09699845314,0.0994226634502,0.0929725021124,25.4871864319,0.46572765708,0.472512453794,8.74857616425,7.68243408203,0.138473793864,0.136516645551,0.337661981583,0.295436441898,0.165342360735,0.159909486771,2.34221291542,2.10418701172,26.4804515839,22.910045623800002,295.946075439,0.0376702807844,0.0362511239946,1459.25952148,1375.86633301
16,69,69,69,77.0,The BossHoss,Rodeo Radio,05-the_bosshoss-i_say_a_little_prayer-mst,0.120268762112,0.113669022918,18.711730957,16.0,-6.693586573899999e-09,-6.1126650408e-09,0.0271397083998,0.0247375946492,0.00292311422527,7.62303733826,7.637099742889999,0.0883684083819,0.08548094332219999,0.00478458730504,0.00491266092286,1427.62695312,3432641.0,-0.06481690704819999,4909756.5,10.87611866,1.0,1.15280306339,436.456176758,9.629146575930001,8.75414180756,2.50103092194,0.120268762112,0.113669022918,23.070728302,0.45924654603,0.466384679079,8.960864067080001,7.86162900925,0.132958754897,0.132171675563,0.406500548124,0.360426336527,0.197290346026,0.19244094193,2.68508839607,2.35954499245,21.9979743958,18.708070755,293.99963378900003,0.0461960062385,0.044062774628400005,1269.19909668,1160.13745117
17,86,86,86,101.0,The BossHoss,Stallion Batallion,01-the_bosshoss-stallion_battalion-mst,0.105872020125,0.08965516090389998,27.6873474121,28.0,-6.1223515146499995e-09,-5.17755260887e-09,0.0256074313074,0.021792858839,0.00619723694399,7.7781586647,7.845726013180001,0.0882031172514,0.0806799456477,0.00463715801015,0.00461100041866,2261.75048828,2857049.25,-0.0803462341428,3857366.25,10.4815120697,1.0,1.31544172764,434.193115234,7.84016942978,7.280632972719999,2.18061828613,0.105872020125,0.08965516090389998,32.6602210999,0.478546023369,0.486436754465,7.88933086395,7.032840251919999,0.15716072917,0.139298468828,-0.447694242001,-0.474032849073,0.165580153465,0.158049494028,2.09096169472,1.89353311062,37.2868843079,36.0527687073,412.29138183599997,0.07519669830799999,0.0695527046919,1971.05993652,2018.75646973
18,104,104,104,119.0,Coldplay,A Rush Of Blood To The Head,06 - Daylight,0.183227524161,0.177157178521,22.932155609099997,22.0,-7.556733017110001e-09,-7.551675729189999e-09,0.030459638685,0.0304508227855,0.00538770016283,7.40300273895,7.44994735718,0.0684077367187,0.0638820156455,0.00519400928169,0.00545051554218,1401.13916016,1160913.625,-0.0751290619373,3281880.0,13.7052469254,1.0,0.8546569347380001,443.572570801,8.99898529053,8.40291595459,2.70308566093,0.183227524161,0.177157178521,21.2437667847,0.462421774864,0.466773480177,8.46997928619,7.388075351719999,0.204798564315,0.196779191494,0.0557787939906,-0.0097356075421,0.20395308733,0.195224225521,2.21272993088,2.06470012665,23.598379135100004,22.4718856812,191.38708496099997,0.0163807552308,0.016111385077200002,1284.95629883,1227.59960938
19,110,110,110,125.0,Coldplay,Viva la vida,11 - Coldplay - Bonus Tracks -  Lost!,0.241349950433,0.242645323277,14.029923439000001,13.0,-7.069833607430001e-09,-6.80269973685e-09,0.0280980374664,0.0273479204625,0.00177006970625,6.55991363525,6.5008602142299985,0.0588063672185,0.0482694543898,0.00502387201414,0.0051653557457,836.476013184,1085986.125,-0.107254780829,2566237.75,16.6179122925,0.0,1.13230097294,439.238189697,11.7176609039,11.373520851099999,2.93062233925,0.241349950433,0.242645323277,8.35897827148,0.420304983854,0.426126271486,11.6984615326,10.5920524597,0.259171813726,0.254933565855,1.0482378006,1.10224986076,0.301957607269,0.30576574802400003,2.36790251732,2.2741980552700003,11.388831138599999,7.36248636246,269.761627197,0.005675222724680001,0.0056414315477000005,657.30078125,498.050811768
